HSCode,Commodity,value,country,year
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",15.03,NETHERLAND,2018
74,COPPER AND ARTICLES THEREOF.,0.52,NETHERLANDANTIL,2018
74,COPPER AND ARTICLES THEREOF.,1.58,NEW ZEALAND,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0,NEW ZEALAND,2018
74,COPPER AND ARTICLES THEREOF.,3.69,NIGERIA,2018
74,COPPER AND ARTICLES THEREOF.,2.92,NORWAY,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.55,NORWAY,2018
74,COPPER AND ARTICLES THEREOF.,0.39,OMAN,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",193.65,OMAN,2018
74,COPPER AND ARTICLES THEREOF.,0.11,PANAMA REPUBLIC,2018
74,COPPER AND ARTICLES THEREOF.,0,PAPUA N GNA,2018
74,COPPER AND ARTICLES THEREOF.,1.35,PERU,2018
74,COPPER AND ARTICLES THEREOF.,0.91,PHILIPPINES,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.08,PHILIPPINES,2018
74,COPPER AND ARTICLES THEREOF.,19.75,POLAND,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.07,POLAND,2018
74,COPPER AND ARTICLES THEREOF.,1.26,PORTUGAL,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,PORTUGAL,2018
74,COPPER AND ARTICLES THEREOF.,1.31,PUERTO RICO,2018
74,COPPER AND ARTICLES THEREOF.,39.55,QATAR,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",1.16,QATAR,2018
74,COPPER AND ARTICLES THEREOF.,0.4,REUNION,2018
74,COPPER AND ARTICLES THEREOF.,0.78,ROMANIA,2018
74,COPPER AND ARTICLES THEREOF.,1.67,RUSSIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",9.19,RUSSIA,2018
74,COPPER AND ARTICLES THEREOF.,0.24,RWANDA,2018
74,COPPER AND ARTICLES THEREOF.,133.24,SAUDI ARAB,2018
74,COPPER AND ARTICLES THEREOF.,2.22,SENEGAL,2018
74,COPPER AND ARTICLES THEREOF.,0.15,SEYCHELLES,2018
74,COPPER AND ARTICLES THEREOF.,0.81,SIERRA LEONE,2018
74,COPPER AND ARTICLES THEREOF.,158.07,SINGAPORE,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",39.15,SINGAPORE,2018
74,COPPER AND ARTICLES THEREOF.,1.07,SLOVENIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.97,SLOVENIA,2018
74,COPPER AND ARTICLES THEREOF.,0.29,SOMALIA,2018
74,COPPER AND ARTICLES THEREOF.,63.49,SOUTH AFRICA,2018
